who who WP who who 1 O
plays play VVZ pla ays 1 O
luke luke NN luk uke 1 B-character.name
on on IN on on 1 O
star star NN sta tar 1 B-movie.name
wars war NNS war ars 1 I-movie.name
new new JJ new new 1 I-movie.name
hope hope NN hop ope 1 I-movie.name

show show NN sho how 1 O
credits credit NNS cre its 1 O
for for IN for for 1 O
the the DT the the 1 B-movie.name
godfather godfather NN god her 1 I-movie.name

who who WP who who 1 O
was be VBD was was 1 O
the the DT the the 1 O
main main JJ mai ain 1 O
actor actor NN act tor 1 O
in in IN in in 1 O
the the DT the the 1 B-movie.name
exorcist exorcist NN exo ist 1 I-movie.name

find find VV fin ind 1 O
the the DT the the 1 O
female female JJ fem ale 1 O
actress actress NN act ess 1 O
from from IN fro rom 1 O
the the DT the the 1 O
movie movie NN mov vie 1 O
she she PP she she 1 B-movie.name
's be VBZ 's 's 1 I-movie.name
the the DT the the 1 I-movie.name
man man NN man man 1 I-movie.name

who who WP who who 1 O
played play VVD pla yed 1 O
dory dory NN dor ory 1 B-character.name
on on IN on on 1 O
finding find VVG fin ing 1 B-movie.name
nemo nemo NN nem emo 1 I-movie.name

who who WP who who 1 O
was be VBD was was 1 O
the the DT the the 1 O
female female JJ fem ale 1 O
lead lead NN lea ead 1 O
in in IN in in 1 O
resident resident JJ res ent 1 B-movie.name
evil evil NN evi vil 1 I-movie.name

who who WP who who 1 O
played play VVD pla yed 1 O
guido guido NN gui ido 1 B-character.name
in in IN in in 1 O
life life NN lif ife 1 B-movie.name
is be VBZ is is 1 I-movie.name
beautiful beautiful JJ bea ful 1 I-movie.name

who who WP who who 1 O
was be VBD was was 1 O
the the DT the the 1 O
co-star co-star NN co- tar 1 O
in in IN in in 1 O
shoot shoot NN sho oot 1 B-movie.name
to to TO to to 1 I-movie.name
kill kill VV kil ill 1 I-movie.name

find find VV fin ind 1 O
the the DT the the 1 O
guy guy NN guy guy 1 O
who who WP who who 1 O
plays play VVZ pla ays 1 O
charlie charlie NN cha lie 1 B-character.name
on on IN on on 1 O
charlie charlie NN cha lie 1 B-movie.name
's 's POS 's 's 1 I-movie.name
angels angel NNS ang els 1 I-movie.name

cast cast NN cas ast 1 O
and and CC and and 1 O
crew crew NN cre rew 1 O
of of IN of of 1 O
movie movie NN mov vie 1 O
the the DT the the 1 B-movie.name
campaign campaign NN cam ign 1 I-movie.name

cast cast NN cas ast 1 O
and and CC and and 1 O
crew crew NN cre rew 1 O
of of IN of of 1 O
the the DT the the 1 B-movie.name
campaign campaign NN cam ign 1 I-movie.name

who who WP who who 1 O
plays play VVZ pla ays 1 O
in in IN in in 1 O
the the DT the the 1 O
movie movie NN mov vie 1 O
the the DT the the 1 B-movie.name
campaign campaign NN cam ign 1 I-movie.name

who who WP who who 1 O
starred star VVD sta red 1 O
in in IN in in 1 O
the the DT the the 1 B-movie.name
campaign campaign NN cam ign 1 I-movie.name

who who WP who who 1 O
were be VBD wer ere 1 O
the the DT the the 1 O
crew crew NN cre rew 1 O
for for IN for for 1 O
the the DT the the 1 B-movie.name
campaign campaign NN cam ign 1 I-movie.name

who who WP who who 1 O
was be VBD was was 1 O
the the DT the the 1 O
lead lead JJ lea ead 1 O
man man NN man man 1 O
in in IN in in 1 O
taxi taxi NN tax axi 1 B-movie.name
driver driver NN dri ver 1 I-movie.name

star star NN sta tar 1 O
of of IN of of 1 O
twilight twilight NN twi ght 1 B-movie.name

who who WP who who 1 O
stars star VVZ sta ars 1 O
in in IN in in 1 O
vulgaria vulgaria NN vul ria 1 B-movie.name

what what WP wha hat 1 O
are be VBP are are 1 O
the the DT the the 1 O
names name NNS nam mes 1 O
of of IN of of 1 O
female female JJ fem ale 1 O
actors actor NNS act ors 1 O
who who WP who who 1 O
played play VVD pla yed 1 O
in in IN in in 1 O
lost lose VVN los ost 1 B-movie.name

can can MD can can 1 O
i i NNS i i 1 O
see see VV see see 1 O
the the DT the the 1 O
set set VVN set set 1 O
list list NN lis ist 1 O
and and CC and and 1 O
cast cast NN cas ast 1 O
for for IN for for 1 O
life life NN lif ife 1 B-movie.name
is be VBZ is is 1 I-movie.name
beautiful beautiful JJ bea ful 1 I-movie.name

cast cast NN cas ast 1 O
and and CC and and 1 O
crew crew NN cre rew 1 O
of of IN of of 1 O
life life NN lif ife 1 B-movie.name
is be VBZ is is 1 I-movie.name
beautiful beautiful JJ bea ful 1 I-movie.name

show show NN sho how 1 O
cast cast NN cas ast 1 O
and and CC and and 1 O
crew crew NN cre rew 1 O
for for IN for for 1 O
the the DT the the 1 O
movie movie NN mov vie 1 O
life life NN lif ife 1 B-movie.name
is be VBZ is is 1 I-movie.name
beautiful beautiful JJ bea ful 1 I-movie.name

what what WP wha hat 1 O
's be VBZ 's 's 1 O
the the DT the the 1 O
cast cast NN cas ast 1 O
for for IN for for 1 O
life life NN lif ife 1 B-movie.name
is be VBZ is is 1 I-movie.name
beautiful beautiful JJ bea ful 1 I-movie.name

who who WP who who 1 O
played play VVD pla yed 1 O
in in IN in in 1 O
life life NN lif ife 1 B-movie.name
is be VBZ is is 1 I-movie.name
beautiful beautiful JJ bea ful 1 I-movie.name

who who WP who who 1 O
played play VVD pla yed 1 O
in in IN in in 1 O
life life NN lif ife 1 B-movie.name
is be VBZ is is 1 I-movie.name
beautiful beautiful JJ bea ful 1 I-movie.name

who who WP who who 1 O
was be VBD was was 1 O
in in IN in in 1 O
life life NN lif ife 1 B-movie.name
is be VBZ is is 1 I-movie.name
beautiful beautiful JJ bea ful 1 I-movie.name

who who WP who who 1 O
were be VBD wer ere 1 O
roberto Roberto NP rob rto 1 B-actor.name
benigni Benigni NP ben gni 1 I-actor.name
's 's POS 's 's 1 O
costars costar NNS cos ars 1 O
on on IN on on 1 O
life life NN lif ife 1 B-movie.name
is be VBZ is is 1 I-movie.name
beautiful beautiful JJ bea ful 1 I-movie.name

i i NNS i i 1 O
am be VBP am am 1 O
looking look VVG loo ing 1 O
for for IN for for 1 O
the the DT the the 1 O
actor actor NN act tor 1 O
that that WDT tha hat 1 O
played play VVD pla yed 1 O
in in IN in in 1 O
pretty pretty JJ pre tty 1 B-movie.name
women woman NNS wom men 1 I-movie.name

star star NN sta tar 1 O
of of IN of of 1 O
troy troy NN tro roy 1 B-movie.name

who who WP who who 1 O
played play VVD pla yed 1 O
robin robin NN rob bin 1 B-character.name
in in IN in in 1 O
batman batman NN bat man 1 B-movie.name
forever forever RB for ver 1 I-movie.name

find find VV fin ind 1 O
the the DT the the 1 O
male male JJ mal ale 1 O
actor actor NN act tor 1 O
from from IN fro rom 1 O
dirty dirty JJ dir rty 1 B-movie.name
harry harry VVP har rry 1 I-movie.name

show show VV sho how 1 O
me me PP me me 1 O
the the DT the the 1 O
actor actor NN act tor 1 O
of of IN of of 1 O
the the DT the the 1 O
ranam ranam NP ran nam 1 B-movie.name

rocky rocky JJ roc cky 1 B-movie.name
actor actor NN act tor 1 O

what what WP wha hat 1 O
actor actor NN act tor 1 O
played play VVN pla yed 1 O
in in IN in in 1 O
the the DT the the 1 B-movie.name
amazing amazing JJ ama ing 1 I-movie.name
spider spider NN spi der 1 I-movie.name
man man NN man man 1 I-movie.name

who who WP who who 1 O
are be VBP are are 1 O
the the DT the the 1 O
actors actor NNS act ors 1 O
in in IN in in 1 O
captain captain NN cap ain 1 B-movie.name
america america NN ame ica 1 I-movie.name

who who WP who who 1 O
starred star VVD sta red 1 O
in in IN in in 1 O
captain captain NN cap ain 1 B-movie.name
america america NN ame ica 1 I-movie.name

who who WP who who 1 O
was be VBD was was 1 O
in in IN in in 1 O
the the DT the the 1 O
movie movie NN mov vie 1 O
captain captain NN cap ain 1 B-movie.name
america america NN ame ica 1 I-movie.name

who who WP who who 1 O
were be VBD wer ere 1 O
the the DT the the 1 O
cast cast NN cas ast 1 O
members member NNS mem ers 1 O
in in IN in in 1 O
the the DT the the 1 B-movie.name
hobbist hobbist NN hob ist 1 I-movie.name

